B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
CJ0008,Bulindi/Kapchorwa/Ngetta/Tororo,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0040,"FOHCREC, Kade S2",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0051,"Ex-Hacienda El Copal, Universidad de Guanajuato in Irapuato, Guanajuato",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0068,"Experimental Field of University of Namibia, Ogongo Campus",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0085,"Teaching, Research and Extension Farm of the Faculty of Engineering, São Paulo State University (UNESP), Ilha Solteira Campus",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0088,Kobo on staion,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0097,Botucatu-NNT/Botucatu-ENT,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0101,"Teaching, Research, and Extension (Selviria) Sao Pablo state University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0104,"The experimental farm of the Faculty of Agriculture at Moshtohor, Benha University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0106,"The Universidade Federal do Mato Grosso do Sul, Campus of Chapadão do Sul, MS,",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0110,"Kabare, DRC",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0110,"Kabare, DRC",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified?,,FALSE,"",""
CJ0111,"Tanzania Coffee Research Institute farm, Lyamungo",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0112,"The Agronomic Research Institute of Paraná State, Umuarama, Paraná",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0113,Universidade Federal de Santa Maria (UFSM)-Exp 1/Universidade Federal de Santa Maria (UFSM)-Exp 2,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0121,"FUT, Akure-clay loam/FUT, Akure-Sandy clay loam",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0123,"IAR, Minjibir 2014/IAR, Minjibir 2015",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0136,"University of Energy, Dormaa Ahenkro Campus",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0145,"Sugarcane Research Center, Guneid-Sudan/Sugarcane Research Center, Guneid-Sudan, SITE 1/Sugarcane Research Center, Guneid-Sudan,SITE 2",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0149,Vegetable Research Farm of the National Horticultural Research Institute (NIHORT),Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
CJ0166,"CSIR, Manga",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
